id,obs,type,start_month,start_day,start_year,start_time,stop_time,duration,session
AM01,DO2,L,10,3,2017,18:44:45,20:47:00,2:02:15,1
AM01,DO1,H,10,6,2017,16:43:57,18:45:00,2:01:03,2
AM02,DO1,H,7,24,2017,13:17:10,15:17:32,2:00:22,1
AM02,DO2_a,A,7,25,2017,8:00:27,8:52:32,0:52:05,2
AM02,DO2_b,A,7,25,2017,8:56:13,10:12:29,1:16:16,3
AM03,DO1,L,7,25,2017,14:00:10,16:00:23,2:00:13,1
AM03,DO2,H,7,27,2017,13:01:29,15:00:39,1:59:10,2
AM04,DO1,W,9,12,2017,12:02:56,14:04:00,2:01:04,1
AM04,DO2,A,9,17,2017,14:15:58,16:16:00,2:00:02,2
AM05,DO2,L,9,19,2017,19:38:53,21:40:00,2:01:07,1
AM06,DO1,E,7,31,2017,8:35:23,10:36:03,2:00:40,1
AM06,DO2,A,8,1,2017,8:09:22,10:10:03,2:00:41,2
AM07,DO1,H,8,2,2017,9:01:18,11:01:27,2:00:09,1
AM07,DO2,E,8,2,2017,11:30:08,13:30:19,2:00:11,2
AM08,DO1_a,E,8,3,2017,9:08:47,10:24:09,1:15:22,1
AM08,DO1_b,E,8,3,2017,10:26:00,11:10:52,0:44:52,2
AM08,DO2,A,8,7,2017,9:30:17,11:30:47,2:00:30,3
AM09,DO1,W,8,10,2017,13:26:00,15:08:44,1:42:44,1
AM09,DO2,A,8,10,2017,16:18:04,18:18:36,2:00:32,2
AM10,DO2,W,8,16,2017,11:19:55,12:38:05,1:18:10,1
AM11,DO1_a,L,9,2,2017,12:13:10,13:02:10,0:49:00,1
AM11,DO1_b,L,9,2,2017,13:05:00,14:11:32,1:06:32,2
AM11,DO2,A,9,5,2017,9:11:00,11:02:41,1:51:41,3
AM11,DO2,A,9,5,2017,11:03:00,11:13:21,0:10:21,4
AM12,DO1,A,9,17,2017,11:15:00,13:15:00,2:00:00,1
AM12,DO2_a,L,9,18,2017,18:57:56,20:13:06,1:15:10,2
AM12,DO2_b,L,9,18,2017,20:14:00,21:01:26,0:47:26,3
AM13,DO1,W,9,20,2017,10:36:59,12:38:00,2:01:01,1
AM13,DO2,A,9,21,2017,11:29:00,13:29:00,2:00:00,2
AM14,DO1,W,9,21,2017,14:19:03,16:27:00,2:07:57,1
AM14,DO2,E,9,23,2017,9:13:01,11:14:00,2:00:59,2
AM15,DO1,W,10,13,2017,9:49:59,11:50:00,2:00:01,1
AM15,DO2_a,E,10,13,2017,15:51:58,17:27:00,1:35:02,2
AM15,DO2_b,E,10,13,2017,17:28:00,17:49:30,0:21:30,3
AM16,DO1,L,10,7,2017,17:45:49,19:47:00,2:01:11,1
AM16,DO2,W,10,11,2017,7:53:59,10:02:00,2:08:01,2
AM17,DO1,E,10,24,2017,18:30:18,20:31:44,2:01:26,1
AM17,DO2,W,10,27,2017,9:08:01,11:08:00,1:59:59,2
AM18,DO1,E,11,4,2017,14:58:56,17:00:54,2:01:58,1
AM18,DO2,L,11,4,2017,17:05:53,19:07:00,2:01:07,2
AM19,DO1,H,11,9,2017,11:33:03,13:34:00,2:00:57,1
AM19,DO2,W,11,9,2017,13:36:43,15:37:00,2:00:17,2
AM20,DO1,H,12,2,2017,11:03:00,13:05:00,2:02:00,1
AM20,DO2,E,12,3,2017,9:38:52,10:42:00,1:03:08,2
AM21,DO1,A,1,17,2018,8:27:00,10:07:51,1:40:51,1
AM21,DO2,W,1,17,2018,12:10:09,14:14:00,2:03:51,2
AM22,DO1,E,1,20,2018,11:05:00,13:06:00,2:01:00,1
AM22,DO2,L,1,20,2018,13:16:57,15:18:00,2:01:03,2
AM24,DO1,L,2,5,2018,17:05:00,19:06:00,2:01:00,1
AM24,DO2,A,2,8,2018,12:08:00,14:08:00,2:00:00,2
AM25,DO1,H,2,17,2018,9:12:00,11:12:08,2:00:08,1
AM25,DO2,L,2,17,2018,11:21:57,13:22:00,2:00:03,2
AM26,DO1,A,2,24,2018,13:07:00,15:13:02,2:06:02,1
AM26,DO2,H,2,24,2018,15:28:00,17:08:06,1:40:06,2
AM26,DO2,H,2,24,2018,17:13:00,17:29:03,0:16:03,3
AM27,DO1,E,5,18,2018,14:43:00,16:43:01,2:00:01,1
AM27,DO2,H,5,18,2018,17:15:00,19:15:04,2:00:04,2
